	TreeNum	Phytochemical	Count	Disease Header	Association
6531	C01.539.757	D019840	1	Sepsis	Positive
6532	C01.539.757	C083295	1	Sepsis	Positive
6533	C01.539.757	D011794	1	Sepsis	Positive
6534	C01.539.757.100	C073316	1	Bacteremia	Positive
6535	C01.539.757.100	D011794	1	Bacteremia	Positive
8317	C01.539.757.100.275	D011794	1	Endotoxemia	Positive
7319	C01.539.757.800	D004298	1	Shock, Septic	Positive
7320	C01.539.757.800	C031927	1	Shock, Septic	Positive
7321	C01.539.757.800	C541528	1	Shock, Septic	Positive
7322	C01.539.757.800	D009638	1	Shock, Septic	Positive
7323	C01.539.757.800	D019840	1	Shock, Septic	Positive
7878	C01.539.800	D008730	1	Skin Diseases, Infectious	Positive
7879	C01.539.800.200	D008730	1	Dermatomycoses	Positive
7880	C01.539.800.200.720	D008730	1	Tinea	Positive
7881	C01.539.800.200.720.730	D008730	1	Tinea Capitis	Positive
8369	C01.539.861	D011794	1	Toxemia	Positive
8370	C01.539.861.375	D011794	1	Endotoxemia	Positive
7897	C01.703	D013943	3	Mycoses	Positive
7896	C01.703	D008730	1	Mycoses	Positive
8417	C01.703.080	D013943	1	Aspergillosis	Positive
7898	C01.703.295	D008730	1	Dermatomycoses	Positive
7899	C01.703.295	D013943	1	Dermatomycoses	Positive
8415	C01.703.295.328	D013943	1	Hyalohyphomycosis	Positive
8416	C01.703.295.328.249	D013943	1	Aspergillosis	Positive
7900	C01.703.295.872	D008730	1	Tinea	Positive
7901	C01.703.295.872.541	D008730	1	Tinea Capitis	Positive
8411	C01.703.534	D013943	1	Lung Diseases, Fungal	Positive
8412	C01.703.534.045	D013943	1	Aspergillosis	Positive
4827	C02	C056493	8	Virus Diseases	Positive
4818	C02	D019207	4	Virus Diseases	Positive
4830	C02	D020156	3	Virus Diseases	Positive
4819	C02	D002392	2	Virus Diseases	Positive
4823	C02	C045651	2	Virus Diseases	Positive
4825	C02	D019695	2	Virus Diseases	Positive
4826	C02	C505802	2	Virus Diseases	Positive
4828	C02	D019787	2	Virus Diseases	Positive
4816	C02	C038491	1	Virus Diseases	Positive
4817	C02	D047310	1	Virus Diseases	Positive
4820	C02	C029010	1	Virus Diseases	Positive
4821	C02	C012843	1	Virus Diseases	Positive
4822	C02	C042577	1	Virus Diseases	Positive
4824	C02	C036071	1	Virus Diseases	Positive
4829	C02	D011794	1	Virus Diseases	Positive
5672	C02.256	C056493	3	DNA Virus Infections	Positive
5668	C02.256	D047310	1	DNA Virus Infections	Positive
5669	C02.256	C042577	1	DNA Virus Infections	Positive
5670	C02.256	C045651	1	DNA Virus Infections	Positive
5671	C02.256	C505802	1	DNA Virus Infections	Positive
5673	C02.256	D020156	1	DNA Virus Infections	Positive
5674	C02.256.076	D047310	1	Adenoviridae Infections	Positive
7740	C02.256.430	C505802	1	Hepadnaviridae Infections	Positive
7741	C02.256.430.400	C505802	1	Hepatitis B	Positive
7288	C02.256.466	C042577	1	Herpesviridae Infections	Positive
7289	C02.256.466	C045651	1	Herpesviridae Infections	Positive
7290	C02.256.466	C056493	1	Herpesviridae Infections	Positive
7291	C02.256.466.245	C042577	1	Cytomegalovirus Infections	Positive
7479	C02.256.466.382	C045651	1	Herpes Simplex	Positive
7779	C02.256.466.860	C056493	1	Sarcoma, Kaposi	Positive
7762	C02.256.650	C056493	2	Papillomavirus Infections	Positive
7763	C02.256.650	D020156	1	Papillomavirus Infections	Positive
7764	C02.256.650.810	C056493	2	Warts	Positive
7765	C02.256.650.810	D020156	1	Warts	Positive
7766	C02.256.650.810.217	C056493	1	Condylomata Acuminata	Positive
4831	C02.440	C038491	1	Hepatitis, Viral, Human	Positive
4832	C02.440	D019207	1	Hepatitis, Viral, Human	Positive
4833	C02.440	D019695	1	Hepatitis, Viral, Human	Positive
4834	C02.440	C505802	1	Hepatitis, Viral, Human	Positive
4835	C02.440	D019787	1	Hepatitis, Viral, Human	Positive
7720	C02.440.420	D019695	1	Hepatitis A	Positive
7739	C02.440.435	C505802	1	Hepatitis B	Positive
6283	C02.440.440	D019207	1	Hepatitis C	Positive
6284	C02.440.440	D019787	1	Hepatitis C	Positive
6260	C02.782	D019207	2	RNA Virus Infections	Positive
6261	C02.782	D002392	1	RNA Virus Infections	Positive
6262	C02.782	C029010	1	RNA Virus Infections	Positive
6263	C02.782	C012843	1	RNA Virus Infections	Positive
6264	C02.782	D019695	1	RNA Virus Infections	Positive
6265	C02.782	D019787	1	RNA Virus Infections	Positive
6266	C02.782	D011794	1	RNA Virus Infections	Positive
6299	C02.782.350	D019207	1	Flaviviridae Infections	Positive
6300	C02.782.350	D019787	1	Flaviviridae Infections	Positive
6301	C02.782.350.350	D019207	1	Hepatitis C	Positive
6302	C02.782.350.350	D019787	1	Hepatitis C	Positive
8295	C02.782.620	D011794	1	Orthomyxoviridae Infections	Positive
8296	C02.782.620.365	D011794	1	Influenza, Human	Positive
6604	C02.782.687	C029010	1	Picornaviridae Infections	Positive
6605	C02.782.687	C012843	1	Picornaviridae Infections	Positive
6606	C02.782.687	D019695	1	Picornaviridae Infections	Positive
6607	C02.782.687.359	C029010	1	Enterovirus Infections	Positive
6608	C02.782.687.359	C012843	1	Enterovirus Infections	Positive
6609	C02.782.687.359	D019695	1	Enterovirus Infections	Positive
6610	C02.782.687.359.213	C029010	1	Coxsackievirus Infections	Positive
6611	C02.782.687.359.213	C012843	1	Coxsackievirus Infections	Positive
7730	C02.782.687.359.500	D019695	1	Hepatitis A	Positive
6267	C02.782.815	D019207	1	Retroviridae Infections	Positive
6268	C02.782.815	D002392	1	Retroviridae Infections	Positive
6269	C02.782.815.616	D019207	1	Lentivirus Infections	Positive
6270	C02.782.815.616	D002392	1	Lentivirus Infections	Positive
6271	C02.782.815.616.400	D019207	1	HIV Infections	Positive
6272	C02.782.815.616.400	D002392	1	HIV Infections	Positive
6273	C02.800	D019207	1	Sexually Transmitted Diseases	Positive
6274	C02.800	D002392	1	Sexually Transmitted Diseases	Positive
6275	C02.800	C056493	1	Sexually Transmitted Diseases	Positive
6276	C02.800.801	D019207	1	Sexually Transmitted Diseases, Viral	Positive
6277	C02.800.801	D002392	1	Sexually Transmitted Diseases, Viral	Positive
6278	C02.800.801	C056493	1	Sexually Transmitted Diseases, Viral	Positive
7787	C02.800.801.220	C056493	1	Condylomata Acuminata	Positive
6279	C02.800.801.400	D019207	1	HIV Infections	Positive
6280	C02.800.801.400	D002392	1	HIV Infections	Positive
7446	C02.825	C056493	2	Skin Diseases, Viral	Positive
7445	C02.825	C045651	1	Skin Diseases, Viral	Positive
7447	C02.825	D020156	1	Skin Diseases, Viral	Positive
7448	C02.825.320	C045651	1	Herpes Simplex	Positive
7767	C02.825.810	C056493	2	Warts	Positive
7768	C02.825.810	D020156	1	Warts	Positive
7769	C02.825.810.110	C056493	1	Condylomata Acuminata	Positive
7754	C02.928	C056493	2	Tumor Virus Infections	Positive
7755	C02.928	D020156	1	Tumor Virus Infections	Positive
7756	C02.928.914	C056493	2	Warts	Positive
7757	C02.928.914	D020156	1	Warts	Positive
7758	C02.928.914.217	C056493	1	Condylomata Acuminata	Positive
8069	C03	D019308	1	Parasitic Diseases	Positive
8070	C03	D011794	1	Parasitic Diseases	Positive
8351	C03.335	D011794	1	Helminthiasis	Positive
8352	C03.335.865	D011794	1	Trematode Infections	Positive
8353	C03.335.865.859	D011794	1	Schistosomiasis	Positive
8354	C03.335.865.859.521	D011794	1	Schistosomiasis japonica	Positive
8071	C03.752	D019308	1	Protozoan Infections	Positive
8072	C03.752.530	D019308	1	Malaria	Positive
8073	C03.752.530.650	D019308	1	Malaria, Falciparum	Positive
809	C04	D003474	49	Neoplasms	Positive
859	C04	D011794	43	Neoplasms	Positive
815	C04	C042577	21	Neoplasms	Positive
827	C04	D019833	21	Neoplasms	Positive
819	C04	C045651	20	Neoplasms	Positive
789	C04	D047310	17	Neoplasms	Positive
833	C04	C056493	15	Neoplasms	Positive
794	C04	D019207	10	Neoplasms	Positive
821	C04	D005054	10	Neoplasms	Positive
826	C04	D005707	9	Neoplasms	Positive
872	C04	C003466	8	Neoplasms	Positive
876	C04	C005466	8	Neoplasms	Positive
860	C04	D012431	7	Neoplasms	Positive
791	C04	C006680	6	Neoplasms	Positive
797	C04	C002070	6	Neoplasms	Positive
801	C04	D002392	6	Neoplasms	Positive
804	C04	C012843	6	Neoplasms	Positive
844	C04	D008353	6	Neoplasms	Positive
793	C04	D001599	5	Neoplasms	Positive
814	C04	C028009	5	Neoplasms	Positive
834	C04	C040920	5	Neoplasms	Positive
845	C04	D008715	5	Neoplasms	Positive
853	C04	D009665	5	Neoplasms	Positive
856	C04	D009828	5	Neoplasms	Positive
873	C04	D024505	5	Neoplasms	Positive
787	C04	C038491	4	Neoplasms	Positive
798	C04	C004541	4	Neoplasms	Positive
825	C04	C037032	4	Neoplasms	Positive
841	C04	C010480	4	Neoplasms	Positive
848	C04	C040015	4	Neoplasms	Positive
849	C04	C005273	4	Neoplasms	Positive
862	C04	C018381	4	Neoplasms	Positive
782	C04	C032171	3	Neoplasms	Positive
788	C04	C006578	3	Neoplasms	Positive
800	C04	C040048	3	Neoplasms	Positive
802	C04	D002726	3	Neoplasms	Positive
803	C04	C029010	3	Neoplasms	Positive
812	C04	C004742	3	Neoplasms	Positive
817	C04	D004610	3	Neoplasms	Positive
822	C04	C004999	3	Neoplasms	Positive
832	C04	C051414	3	Neoplasms	Positive
842	C04	D014975	3	Neoplasms	Positive
846	C04	D008730	3	Neoplasms	Positive
854	C04	D019787	3	Neoplasms	Positive
863	C04	C005705	3	Neoplasms	Positive
864	C04	C002979	3	Neoplasms	Positive
870	C04	C056068	3	Neoplasms	Positive
780	C04	C047948	2	Neoplasms	Positive
785	C04	C058956	2	Neoplasms	Positive
799	C04	C023623	2	Neoplasms	Positive
806	C04	C113861	2	Neoplasms	Positive
816	C04	D004145	2	Neoplasms	Positive
820	C04	C036071	2	Neoplasms	Positive
828	C04	C007836	2	Neoplasms	Positive
829	C04	C007845	2	Neoplasms	Positive
831	C04	C013015	2	Neoplasms	Positive
836	C04	C006552	2	Neoplasms	Positive
839	C04	C008281	2	Neoplasms	Positive
840	C04	C018584	2	Neoplasms	Positive
843	C04	D047311	2	Neoplasms	Positive
847	C04	D009020	2	Neoplasms	Positive
850	C04	C005274	2	Neoplasms	Positive
851	C04	C008661	2	Neoplasms	Positive
852	C04	D009638	2	Neoplasms	Positive
868	C04	C059006	2	Neoplasms	Positive
869	C04	C009438	2	Neoplasms	Positive
875	C04	D014498	2	Neoplasms	Positive
781	C04	C057996	1	Neoplasms	Positive
783	C04	C046414	1	Neoplasms	Positive
784	C04	C056165	1	Neoplasms	Positive
786	C04	C006453	1	Neoplasms	Positive
790	C04	C043372	1	Neoplasms	Positive
792	C04	C027870	1	Neoplasms	Positive
795	C04	C445979	1	Neoplasms	Positive
796	C04	C002503	1	Neoplasms	Positive
805	C04	C055786	1	Neoplasms	Positive
807	C04	C002602	1	Neoplasms	Positive
808	C04	D003375	1	Neoplasms	Positive
810	C04	C000596494	1	Neoplasms	Positive
811	C04	C100089	1	Neoplasms	Positive
813	C04	C050229	1	Neoplasms	Positive
818	C04	D004642	1	Neoplasms	Positive
823	C04	C007768	1	Neoplasms	Positive
824	C04	C032005	1	Neoplasms	Positive
830	C04	D019695	1	Neoplasms	Positive
835	C04	C016527	1	Neoplasms	Positive
837	C04	C064309	1	Neoplasms	Positive
838	C04	C541528	1	Neoplasms	Positive
855	C04	D019301	1	Neoplasms	Positive
857	C04	C003140	1	Neoplasms	Positive
858	C04	C008922	1	Neoplasms	Positive
861	C04	C065299	1	Neoplasms	Positive
865	C04	C040115	1	Neoplasms	Positive
866	C04	C012037	1	Neoplasms	Positive
867	C04	D013012	1	Neoplasms	Positive
871	C04	D013936	1	Neoplasms	Positive
874	C04	D014307	1	Neoplasms	Positive
877	C04	D009536	1	Neoplasms	Positive
7805	C04.182	D014975	1	Cysts	Positive
7806	C04.182.612	D014975	1	Ovarian Cysts	Positive
7807	C04.182.612.765	D014975	1	Polycystic Ovary Syndrome	Positive
996	C04.557	D003474	22	Neoplasms by Histologic Type	Positive
1021	C04.557	D011794	17	Neoplasms by Histologic Type	Positive
1010	C04.557	C056493	14	Neoplasms by Histologic Type	Positive
999	C04.557	C042577	8	Neoplasms by Histologic Type	Positive
1007	C04.557	D019833	8	Neoplasms by Histologic Type	Positive
985	C04.557	D047310	7	Neoplasms by Histologic Type	Positive
1002	C04.557	C045651	7	Neoplasms by Histologic Type	Positive
1006	C04.557	D005707	6	Neoplasms by Histologic Type	Positive
1022	C04.557	D012431	6	Neoplasms by Histologic Type	Positive
1015	C04.557	D008353	5	Neoplasms by Histologic Type	Positive
1019	C04.557	D009665	5	Neoplasms by Histologic Type	Positive
988	C04.557	D019207	4	Neoplasms by Histologic Type	Positive
994	C04.557	C012843	4	Neoplasms by Histologic Type	Positive
1016	C04.557	D008715	4	Neoplasms by Histologic Type	Positive
982	C04.557	C032171	3	Neoplasms by Histologic Type	Positive
986	C04.557	C006680	3	Neoplasms by Histologic Type	Positive
989	C04.557	C002070	3	Neoplasms by Histologic Type	Positive
990	C04.557	C004541	3	Neoplasms by Histologic Type	Positive
991	C04.557	C040048	3	Neoplasms by Histologic Type	Positive
992	C04.557	D002726	3	Neoplasms by Histologic Type	Positive
993	C04.557	C029010	3	Neoplasms by Histologic Type	Positive
1003	C04.557	D005054	3	Neoplasms by Histologic Type	Positive
1004	C04.557	C004999	3	Neoplasms by Histologic Type	Positive
1009	C04.557	C051414	3	Neoplasms by Histologic Type	Positive
1018	C04.557	C040015	3	Neoplasms by Histologic Type	Positive
1029	C04.557	C005466	3	Neoplasms by Histologic Type	Positive
1005	C04.557	C037032	2	Neoplasms by Histologic Type	Positive
1017	C04.557	D008730	2	Neoplasms by Histologic Type	Positive
1023	C04.557	C018381	2	Neoplasms by Histologic Type	Positive
1026	C04.557	C003466	2	Neoplasms by Histologic Type	Positive
1027	C04.557	D024505	2	Neoplasms by Histologic Type	Positive
981	C04.557	C047948	1	Neoplasms by Histologic Type	Positive
983	C04.557	C058956	1	Neoplasms by Histologic Type	Positive
984	C04.557	C006578	1	Neoplasms by Histologic Type	Positive
987	C04.557	C027870	1	Neoplasms by Histologic Type	Positive
995	C04.557	C113861	1	Neoplasms by Histologic Type	Positive
997	C04.557	C004742	1	Neoplasms by Histologic Type	Positive
998	C04.557	C028009	1	Neoplasms by Histologic Type	Positive
1000	C04.557	D004145	1	Neoplasms by Histologic Type	Positive
1001	C04.557	D004642	1	Neoplasms by Histologic Type	Positive
1008	C04.557	C013015	1	Neoplasms by Histologic Type	Positive
1011	C04.557	C040920	1	Neoplasms by Histologic Type	Positive
1012	C04.557	C018584	1	Neoplasms by Histologic Type	Positive
1013	C04.557	C010480	1	Neoplasms by Histologic Type	Positive
1014	C04.557	D014975	1	Neoplasms by Histologic Type	Positive
1020	C04.557	D009828	1	Neoplasms by Histologic Type	Positive
1024	C04.557	C005705	1	Neoplasms by Histologic Type	Positive
1025	C04.557	C009438	1	Neoplasms by Histologic Type	Positive
1028	C04.557	D014307	1	Neoplasms by Histologic Type	Positive
4439	C04.557.337	D019833	2	Leukemia	Positive
4442	C04.557.337	D009665	2	Leukemia	Positive
4434	C04.557.337	C058956	1	Leukemia	Positive
4435	C04.557.337	C027870	1	Leukemia	Positive
4436	C04.557.337	D003474	1	Leukemia	Positive
4437	C04.557.337	D004642	1	Leukemia	Positive
4438	C04.557.337	D005707	1	Leukemia	Positive
4440	C04.557.337	C018584	1	Leukemia	Positive
4441	C04.557.337	D014975	1	Leukemia	Positive
4443	C04.557.337	D011794	1	Leukemia	Positive
4444	C04.557.337	D012431	1	Leukemia	Positive
4445	C04.557.337	C009438	1	Leukemia	Positive
7803	C04.557.337.372	D014975	1	Leukemia, Experimental	Positive
7804	C04.557.337.372.594	D014975	1	Leukemia L1210	Positive
7431	C04.557.337.428	D004642	1	Leukemia, Lymphoid	Positive
7432	C04.557.337.428	D009665	1	Leukemia, Lymphoid	Positive
7433	C04.557.337.428.580	D004642	1	Leukemia, T-Cell	Positive
7434	C04.557.337.428.580	D009665	1	Leukemia, T-Cell	Positive
7435	C04.557.337.428.580.100	D004642	1	Leukemia-Lymphoma, Adult T-Cell	Positive
5903	C04.557.337.539	C027870	1	Leukemia, Myeloid	Positive
5904	C04.557.337.539	D005707	1	Leukemia, Myeloid	Positive
5905	C04.557.337.539	D019833	1	Leukemia, Myeloid	Positive
5906	C04.557.337.539	D009665	1	Leukemia, Myeloid	Positive
5907	C04.557.337.539	D011794	1	Leukemia, Myeloid	Positive
5908	C04.557.337.539	C009438	1	Leukemia, Myeloid	Positive
7611	C04.557.337.539.250	D005707	1	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Positive
5909	C04.557.337.539.275	C027870	1	Leukemia, Myeloid, Acute	Positive
5910	C04.557.337.539.275	D019833	1	Leukemia, Myeloid, Acute	Positive
5911	C04.557.337.539.275	D009665	1	Leukemia, Myeloid, Acute	Positive
5912	C04.557.337.539.275	C009438	1	Leukemia, Myeloid, Acute	Positive
5913	C04.557.337.539.275.700	C027870	1	Leukemia, Promyelocytic, Acute	Positive
5914	C04.557.337.539.275.700	D019833	1	Leukemia, Promyelocytic, Acute	Positive
5915	C04.557.337.539.275.700	D009665	1	Leukemia, Promyelocytic, Acute	Positive
6899	C04.557.386	D003474	2	Lymphoma	Positive
6900	C04.557.386	D008730	2	Lymphoma	Positive
6901	C04.557.386	D011794	1	Lymphoma	Positive
6902	C04.557.386	D014307	1	Lymphoma	Positive
7131	C04.557.386.480	D008730	2	Lymphoma, Non-Hodgkin	Positive
7130	C04.557.386.480	D003474	1	Lymphoma, Non-Hodgkin	Positive
7132	C04.557.386.480	D011794	1	Lymphoma, Non-Hodgkin	Positive
7133	C04.557.386.480	D014307	1	Lymphoma, Non-Hodgkin	Positive
7135	C04.557.386.480.750	D008730	2	Lymphoma, T-Cell	Positive
7134	C04.557.386.480.750	D003474	1	Lymphoma, T-Cell	Positive
7136	C04.557.386.480.750	D011794	1	Lymphoma, T-Cell	Positive
7137	C04.557.386.480.750	D014307	1	Lymphoma, T-Cell	Positive
7882	C04.557.386.480.750.800	D008730	2	Lymphoma, T-Cell, Cutaneous	Positive
7883	C04.557.386.480.750.800	D014307	1	Lymphoma, T-Cell, Cutaneous	Positive
7884	C04.557.386.480.750.800.550	D008730	1	Mycosis Fungoides	Positive
7885	C04.557.386.480.750.800.550	D014307	1	Mycosis Fungoides	Positive
8292	C04.557.435	D011794	1	Neoplasms, Complex and Mixed	Positive
8293	C04.557.435.290	D011794	1	Carcinosarcoma	Positive
7186	C04.557.450	D003474	2	Neoplasms, Connective and Soft Tissue	Positive
7187	C04.557.450	D005707	2	Neoplasms, Connective and Soft Tissue	Positive
7189	C04.557.450	C056493	2	Neoplasms, Connective and Soft Tissue	Positive
7188	C04.557.450	D019833	1	Neoplasms, Connective and Soft Tissue	Positive
7190	C04.557.450	D011794	1	Neoplasms, Connective and Soft Tissue	Positive
7617	C04.557.450.565	D005707	1	Neoplasms, Connective Tissue	Positive
7618	C04.557.450.565	C056493	1	Neoplasms, Connective Tissue	Positive
7619	C04.557.450.565.575	D005707	1	Neoplasms, Bone Tissue	Positive
7620	C04.557.450.565.575.650	D005707	1	Osteosarcoma	Positive
7759	C04.557.450.565.590	C056493	1	Neoplasms, Fibrous Tissue	Positive
7760	C04.557.450.565.590.340	C056493	1	Fibroma	Positive
7761	C04.557.450.565.590.340.173	C056493	1	Dupuytren Contracture	Positive
7215	C04.557.450.590	D003474	1	Neoplasms, Muscle Tissue	Positive
7216	C04.557.450.590	D019833	1	Neoplasms, Muscle Tissue	Positive
7217	C04.557.450.590.450	D003474	1	Leiomyoma	Positive
7218	C04.557.450.590.450	D019833	1	Leiomyoma	Positive
7191	C04.557.450.795	D003474	1	Sarcoma	Positive
7192	C04.557.450.795	D005707	1	Sarcoma	Positive
7193	C04.557.450.795	C056493	1	Sarcoma	Positive
7194	C04.557.450.795	D011794	1	Sarcoma	Positive
8319	C04.557.450.795.290	D011794	1	Carcinosarcoma	Positive
7621	C04.557.450.795.620	D005707	1	Osteosarcoma	Positive
7770	C04.557.450.795.850	C056493	1	Sarcoma, Kaposi	Positive
2609	C04.557.465	D011794	3	Neoplasms, Germ Cell and Embryonal	Positive
2587	C04.557.465	D047310	2	Neoplasms, Germ Cell and Embryonal	Positive
2596	C04.557.465	D003474	2	Neoplasms, Germ Cell and Embryonal	Positive
2597	C04.557.465	C042577	2	Neoplasms, Germ Cell and Embryonal	Positive
2586	C04.557.465	C032171	1	Neoplasms, Germ Cell and Embryonal	Positive
2588	C04.557.465	C006680	1	Neoplasms, Germ Cell and Embryonal	Positive
2589	C04.557.465	D019207	1	Neoplasms, Germ Cell and Embryonal	Positive
2590	C04.557.465	C002070	1	Neoplasms, Germ Cell and Embryonal	Positive
2591	C04.557.465	C004541	1	Neoplasms, Germ Cell and Embryonal	Positive
2592	C04.557.465	C040048	1	Neoplasms, Germ Cell and Embryonal	Positive
2593	C04.557.465	D002726	1	Neoplasms, Germ Cell and Embryonal	Positive
2594	C04.557.465	C029010	1	Neoplasms, Germ Cell and Embryonal	Positive
2595	C04.557.465	C012843	1	Neoplasms, Germ Cell and Embryonal	Positive
2598	C04.557.465	C045651	1	Neoplasms, Germ Cell and Embryonal	Positive
2599	C04.557.465	D005054	1	Neoplasms, Germ Cell and Embryonal	Positive
2600	C04.557.465	C004999	1	Neoplasms, Germ Cell and Embryonal	Positive
2601	C04.557.465	D005707	1	Neoplasms, Germ Cell and Embryonal	Positive
2602	C04.557.465	D019833	1	Neoplasms, Germ Cell and Embryonal	Positive
2603	C04.557.465	C051414	1	Neoplasms, Germ Cell and Embryonal	Positive
2604	C04.557.465	C056493	1	Neoplasms, Germ Cell and Embryonal	Positive
2605	C04.557.465	D008353	1	Neoplasms, Germ Cell and Embryonal	Positive
2606	C04.557.465	D008715	1	Neoplasms, Germ Cell and Embryonal	Positive
2607	C04.557.465	C040015	1	Neoplasms, Germ Cell and Embryonal	Positive
2608	C04.557.465	D009665	1	Neoplasms, Germ Cell and Embryonal	Positive
2610	C04.557.465	D012431	1	Neoplasms, Germ Cell and Embryonal	Positive
2612	C04.557.465.625	D047310	2	Neuroectodermal Tumors	Positive
2621	C04.557.465.625	D003474	2	Neuroectodermal Tumors	Positive
2622	C04.557.465.625	C042577	2	Neuroectodermal Tumors	Positive
2634	C04.557.465.625	D011794	2	Neuroectodermal Tumors	Positive
2611	C04.557.465.625	C032171	1	Neuroectodermal Tumors	Positive
2613	C04.557.465.625	C006680	1	Neuroectodermal Tumors	Positive
2614	C04.557.465.625	D019207	1	Neuroectodermal Tumors	Positive
2615	C04.557.465.625	C002070	1	Neuroectodermal Tumors	Positive
2616	C04.557.465.625	C004541	1	Neuroectodermal Tumors	Positive
2617	C04.557.465.625	C040048	1	Neuroectodermal Tumors	Positive
2618	C04.557.465.625	D002726	1	Neuroectodermal Tumors	Positive
2619	C04.557.465.625	C029010	1	Neuroectodermal Tumors	Positive
2620	C04.557.465.625	C012843	1	Neuroectodermal Tumors	Positive
2623	C04.557.465.625	C045651	1	Neuroectodermal Tumors	Positive
2624	C04.557.465.625	D005054	1	Neuroectodermal Tumors	Positive
2625	C04.557.465.625	C004999	1	Neuroectodermal Tumors	Positive
